state_name,county_name,zip_code,share_of_homes_in_negative_equity
Nebraska,Douglas,68007,0.0675722137093544
Nebraska,Lancaster,68520,0.06756756454706192
Illinois,Marion,62807,0.06752411276102066
Wisconsin,Dodge,53579,0.06749556213617325
Illinois,McLean,61754,0.06744185835123062
Illinois,Cook,60016,0.0674251988530159
Florida,Miami-Dade,33193,0.06742217391729355
Arizona,Pinal,85128,0.06739450246095657
Virginia,Prince William,22193,0.06737887114286423
New Jersey,Camden,08107,0.0673777312040329
Florida,Escambia,32534,0.06736209243535995
Illinois,Cook,60173,0.0673447921872139
Florida,Broward,33314,0.06731671094894409
New Jersey,Gloucester,08328,0.06730769574642181
Ohio,Lawrence,45688,0.06730769574642181
Wisconsin,Milwaukee,53205,0.06720098853111267
New Jersey,Sussex,07827,0.0671745166182518
Virginia,Newport News City,23608,0.06717439740896225
New Jersey,Camden,08089,0.0670640841126442
Connecticut,Fairfield,06855,0.06704361736774445
Pennsylvania,Allegheny,15086,0.0670391097664833
Iowa,Delaware,52330,0.067024126648902893
New Jersey,Burlington,08016,0.06700295209884644
Arizona,Maricopa,85009,0.06699944287538528
Maryland,Frederick,21716,0.06695046275854111
North Dakota,Cass,58005,0.06694560497999191
Florida,Lee,33974,0.06690210103988647
California,Monterey,93905,0.06689224392175674
