state_name,county_name,zip_code,pct_homes_negative_equity
Ohio,Cuyahoga,44115,7.16
Iowa,Union,50830,7.16
Maryland,Baltimore City,21229,7.15
Rhode Island,Providence,02910,7.15
New Jersey,Burlington,08065,7.15
New York,Rockland,10931,7.14
Illinois,Grundy,60479,7.14
Maryland,Prince Georges,20737,7.14
Virginia,Norfolk City,23503,7.13
California,Fresno,93630,7.13
Connecticut,Hartford,06095,7.12
New Jersey,Mercer,08610,7.11
Arizona,Pinal,85123,7.1
Virginia,Norfolk City,23523,7.1
Florida,Miami-Dade,33010,7.1
Massachusetts,Worcester,01608,7.09
Maryland,Prince Georges,20783,7.09
Iowa,Sioux,51234,7.09
Illinois,Boone,61012,7.09
Florida,Hillsborough,33584,7.08
New York,Queens,11691,7.08
Connecticut,Windham,06277,7.07
Florida,Miami-Dade,33162,7.06
Maryland,Prince Georges,20747,7.06
New Jersey,Cumberland,08349,7.05
New York,Westchester,10553,7.01
Louisiana,Rapides,71466,7.01
Florida,Palm Beach,33493,7.01
Connecticut,New London,06360,7
Illinois,Knox,61485,7
Illinois,Cook,60029,6.99
Michigan,Wayne,48180,6.99
Connecticut,New London,06375,6.97
Maryland,Caroline,21649,6.97
Illinois,Peoria,61533,6.96
Florida,Palm Beach,33403,6.96
Nevada,Clark,89101,6.96
Massachusetts,Barnstable,02601,6.95
Michigan,Oakland,48340,6.95
Illinois,Cook,60171,6.94
New Jersey,Gloucester,08063,6.94
Illinois,Randolph,62288,6.93
Michigan,Macomb,48048,6.92
New Jersey,Atlantic,08310,6.92
Ohio,Geauga,44023,6.92
Minnesota,Pope,56323,6.91
New Jersey,Camden,08049,6.91
Virginia,Norfolk City,23513,6.91
Illinois,Woodford,61771,6.91
Delaware,New Castle,19805,6.9
Illinois,Cook,60422,6.9
Oklahoma,Cleveland,73173,6.9
New York,Kings,11213,6.89
Maryland,Queen Annes,21651,6.88
Illinois,Cook,60615,6.88
Illinois,Will,60484,6.88
Ohio,Lorain,44090,6.88
Illinois,DuPage,60106,6.88
Iowa,Jefferson,52580,6.87
Florida,Orange,32808,6.85
Illinois,Crawford,62413,6.85
Maryland,Howard,20723,6.85
New York,Rockland,10986,6.85
